date,actual,forecast,train,test,lower_bound,upper_bound
2022-04-11,,31409,,,30496,32013
2022-04-12,,31264,,,30355,31804
2022-04-13,,30694,,,29721,31487
2022-04-14,,30623,,,29771,31267
2022-04-15,,30595,,,29858,31470
2022-04-16,,30381,,,29449,31012
2022-04-17,,30956,,,30062,31894
2022-04-18,,32028,,,31197,32556
2022-04-19,,30102,,,29438,31090
2022-04-20,,31073,,,30543,31977
2022-04-21,,29765,,,28918,30748
2022-04-22,,31419,,,30590,32117
2022-04-23,,30364,,,29448,31053
2022-04-24,,30320,,,29615,30882
2022-04-25,,30295,,,29309,30965
2022-04-26,,31086,,,30438,31907
2022-04-27,,31333,,,30642,31996
2022-04-28,,30218,,,29568,31140
2022-04-29,,31577,,,30958,32532
2022-04-30,,30538,,,29955,31498
2022-05-01,,31694,,,30911,32302
2022-05-02,,33347,,,32417,34034
2022-05-03,,32972,,,32274,33813
2022-05-04,,32252,,,31555,33111
2022-05-05,,32433,,,31701,33356
2022-05-06,,33538,,,32634,34394
2022-05-07,,32029,,,31282,32774
2022-05-08,,33664,,,32694,34429
2022-05-09,,32176,,,31659,32999
2022-05-10,,32921,,,32190,33762
2022-05-11,,32539,,,31634,33298
2022-05-12,,31955,,,31216,32940
2022-05-13,,34519,,,33822,35452
2022-05-14,,34768,,,33880,35403
2022-05-15,,33723,,,33095,34444
2022-05-16,,33418,,,32903,33969
2022-05-17,,34067,,,33287,34973
2022-05-18,,33519,,,32581,34224
2022-05-19,,32856,,,31890,33633
2022-05-20,,32922,,,32342,33561
2022-05-21,,35051,,,34368,35963
2022-05-22,,35042,,,34453,35627
2022-05-23,,33772,,,32868,34350
2022-05-24,,33288,,,32648,34165
2022-05-25,,33423,,,32892,34189
2022-05-26,,35314,,,34792,36170
2022-05-27,,34085,,,33290,35061
2022-05-28,,33901,,,32962,34725
2022-05-29,,34099,,,33224,34892
2022-05-30,,35633,,,35053,36626
